Carport,Dapur,Daya Listrik,Garasi,Jumlah Lantai,Kamar Mandi,Kamar Tidur,Kondisi Perabotan,Luas Bangunan,Luas Tanah,Nomor Lantai,Sertifikat,Tahun Dibangun,address,latitude,longitude,price_currency,price_unit,price_value
,1.0,,,2.0,5.0,5.0,Semi Furnished,400 m²,310 m²,,SHM - Sertifikat Hak Milik,2023.0,"Kebagusan, Jakarta Selatan",-6.3139,106.83608,Rp,Miliar,7
2.0,1.0,,2.0,2.0,3.0,4.0,Unfurnished,275 m²,292 m²,,SHM - Sertifikat Hak Milik,2000.0,"Kelapa Gading, Jakarta Utara",-6.15808,106.91815,Rp,Miliar,"6,5"
,1.0,2200 Watt,,2.0,2.0,2.0,Furnished,42 m²,22 m²,,SHM - Sertifikat Hak Milik,2024.0,"Cipinang, Jakarta Timur",-6.20989,106.89872,Rp,Juta,524
1.0,1.0,,2.0,2.0,3.0,3.0,Unfurnished,103 m²,53 m²,,SHM - Sertifikat Hak Milik,2023.0,"Jatinegara, Jakarta Timur",-6.23168,106.88464,Rp,Miliar,"1,57"
,1.0,2200 Watt,,2.0,2.0,1.0,Unfurnished,31 m²,16 m²,,SHM - Sertifikat Hak Milik,2024.0,"Cipinang, Jakarta Timur",-6.207429299999999,106.8915948,Rp,Juta,422
1.0,1.0,,,2.0,2.0,3.0,,96 m²,96 m²,,SHM - Sertifikat Hak Milik,,"Kelapa Gading, Jakarta Utara",-6.161308699999999,106.9049822,Rp,Miliar,"2,5"
2.0,,3500 Watt,,3.0,3.0,5.0,Unfurnished,144 m²,84 m²,,SHM - Sertifikat Hak Milik,2023.0,"Ancol, Jakarta Utara",-6.132975099999999,106.8266873,Rp,Miliar,"2,78"
,,10600 Watt,,2.0,4.0,4.0,Furnished,380 m²,475 m²,,SHM - Sertifikat Hak Milik,,"Pejaten, Jakarta Selatan",-6.270482899999999,106.8384873,Rp,Miliar,"7,5"
,,,,,2.0,2.0,Semi Furnished,99 m²,,,SHM - Sertifikat Hak Milik,,"Tanjung Duren, Jakarta Barat",-6.18036,106.78369,Rp,Miliar,"3,7"
1.0,1.0,,,3.0,4.0,4.0,Unfurnished,160 m²,72 m²,,SHM - Sertifikat Hak Milik,2024.0,"Permata Buana, Jakarta Barat",-6.1585,106.747,Rp,Miliar,"2,9"
2.0,1.0,4400 Watt,,2.0,1.0,2.0,Unfurnished,72 m²,48 m²,,SHM - Sertifikat Hak Milik,2014.0,"Green Lake City, Jakarta Barat",-6.1852561,106.703769,Rp,Miliar,"1,3"
,,,,2.0,3.0,4.0,Unfurnished,370 m²,220 m²,,SHM - Sertifikat Hak Milik,,"Kelapa Gading, Jakarta Utara",-6.15808,106.91815,Rp,Miliar,"7,3"
2.0,,4400 Watt,2.0,2.0,2.0,3.0,Unfurnished,120 m²,60 m²,,"Lainnya (PPJB,Girik,Adat,dll)",,"Pantai Indah Kapuk 2, Jakarta Utara",-6.1026441,106.7411622,Rp,Miliar,"1,75"
4.0,2.0,16500 Watt,10.0,3.0,7.0,5.0,Semi Furnished,979 m²,502 m²,,SHM - Sertifikat Hak Milik,,"Kelapa Gading, Jakarta Utara",-6.161308699999999,106.9049822,Rp,Miliar,28
4.0,1.0,,4.0,3.0,4.0,4.0,Unfurnished,336 m²,135 m²,,SHM - Sertifikat Hak Milik,2020.0,"Citra Garden, Jakarta Barat",-6.1585,106.747,Rp,Miliar,"12,7"
,1.0,,,2.0,3.0,3.0,Semi Furnished,120 m²,135 m²,,SHM - Sertifikat Hak Milik,,"Puri Mansion, Jakarta Barat",-6.1585,106.747,Rp,Miliar,"3,9"
,,,,,2.0,2.0,Semi Furnished,80 m²,,,"Lainnya (PPJB,Girik,Adat,dll)",,"Kebon Jeruk, Jakarta Barat",-6.184046800000001,106.7680752,Rp,Miliar,"1,35"
,,,,,1.0,2.0,Furnished,33 m²,,27.0,SHM - Sertifikat Hak Milik,,"Cempaka Putih, Jakarta Pusat",-6.1868333,106.8665002,Rp,Juta,480
,,,,2.0,4.0,4.0,,300 m²,500 m²,,SHM - Sertifikat Hak Milik,,"Lebak Bulus, Jakarta Selatan",-6.312540054321289,106.80420684814453,unknown,unknown,unknown
1.0,1.0,2200 Watt,,2.0,3.0,3.0,Semi Furnished,130 m²,121 m²,,SHM - Sertifikat Hak Milik,2019.0,"Jagakarsa, Jakarta Selatan",-6.332799911499023,106.831298828125,Rp,Miliar,"3,3"
2.0,,,2.0,2.0,3.0,4.0,,500 m²,446 m²,,SHM - Sertifikat Hak Milik,,"Lebak Bulus, Jakarta Selatan",-6.3031123,106.7794935,Rp,Miliar,"12,5"
2.0,2.0,7600 Watt,2.0,2.0,4.0,5.0,Semi Furnished,700 m²,650 m²,,SHM - Sertifikat Hak Milik,2008.0,"Lebak Bulus, Jakarta Selatan",-6.31254,106.80421,Rp,Miliar,15
1.0,1.0,3500 Watt,1.0,2.0,5.0,4.0,,400 m²,427 m²,,SHM - Sertifikat Hak Milik,,"Tomang, Jakarta Barat",-6.172140121459961,106.80271911621094,Rp,Miliar,"12,5"
2.0,2.0,,2.0,2.0,3.0,3.0,Unfurnished,90 m²,72 m²,,SHM - Sertifikat Hak Milik,2024.0,"Jatiwaringin, Jakarta Timur",-6.26437,106.91104,Rp,Juta,975
,,2200 Watt,,2.0,2.0,3.0,,80 m²,80 m²,,"Lainnya (PPJB,Girik,Adat,dll)",,"Cibubur, Jakarta Timur",-6.356087199999999,106.879792,Rp,Miliar,"1,22"
2.0,1.0,4400 Watt,2.0,2.0,3.0,3.0,Semi Furnished,170 m²,135 m²,,SHM - Sertifikat Hak Milik,2015.0,"Puri Mansion, Jakarta Barat",-6.1813377,106.7271337,Rp,Miliar,"3,9"
2.0,1.0,,7.0,2.0,4.0,5.0,Semi Furnished,500 m²,377 m²,,SHM - Sertifikat Hak Milik,,"Kelapa Gading, Jakarta Utara",-6.15808,106.91815,Rp,Miliar,"9,8"
,,1300 Watt,,1.0,2.0,3.0,,72 m²,108 m²,,SHM - Sertifikat Hak Milik,,"Meruya, Jakarta Barat",-6.1970854,106.7382072,Rp,Miliar,"1,35"
1.0,,2200 Watt,2.0,,,,Unfurnished,200 m²,433 m²,,SHM - Sertifikat Hak Milik,,"Kalideres, Jakarta Barat",-6.1568457,106.7038324,Rp,Miliar,"6,5"
,,,,2.0,3.0,3.0,Semi Furnished,200 m²,144 m²,,SHM - Sertifikat Hak Milik,,"Permata Buana, Jakarta Barat",-6.1761691,106.7425373,Rp,Miliar,"5,5"
1.0,1.0,,2.0,3.0,4.0,3.0,Semi Furnished,316 m²,336 m²,,SHM - Sertifikat Hak Milik,2023.0,"Menteng, Jakarta Pusat",-6.19638,106.83789,Rp,Miliar,"17,3"
,,,,,2.0,3.0,Furnished,192 m²,,18.0,HGB - Hak Guna Bangunan,1997.0,"Kuningan, Jakarta Selatan",-6.23713,106.82374,Rp,Miliar,"7,8"
1.0,1.0,2200 Watt,,1.0,2.0,2.0,Unfurnished,140 m²,85 m²,,SHM - Sertifikat Hak Milik,,"Kebon Jeruk, Jakarta Barat",-6.184046800000001,106.7680752,Rp,Miliar,"1,61"
4.0,1.0,,,2.0,4.0,4.0,,336 m²,145 m²,,SHM - Sertifikat Hak Milik,2022.0,"Citra Garden, Jakarta Barat",-6.1585,106.747,Rp,Miliar,"12,7"
2.0,,10000 Watt,2.0,1.0,6.0,6.0,Furnished,900 m²,1286 m²,,SHM - Sertifikat Hak Milik,,"Sunter, Jakarta Utara",-6.136937199999999,106.8620891,Rp,Miliar,45
,,2200 Watt,,1.0,,,,100 m²,126 m²,,SHM - Sertifikat Hak Milik,,"Sunter, Jakarta Utara",-6.136937199999999,106.8620891,Rp,Miliar,"3,3"
,,,,1.0,2.0,2.0,Unfurnished,75 m²,84 m²,,SHM - Sertifikat Hak Milik,,"Sunter, Jakarta Utara",-6.136937199999999,106.8620891,Rp,Miliar,"1,85"
1.0,1.0,2200 Watt,1.0,1.0,4.0,3.0,Unfurnished,115 m²,39 m²,,SHM - Sertifikat Hak Milik,,"Cempaka Putih, Jakarta Pusat",-6.1868333,106.8665002,Rp,Miliar,"1,61"
,,,,,,,,,,,,,,,,,,
,,1300 Watt,,1.0,2.0,3.0,,72 m²,108 m²,,SHM - Sertifikat Hak Milik,,"Green Lake City, Jakarta Barat",-6.1852561,106.703769,Rp,Miliar,"1,35"
2.0,,7700 Watt,2.0,3.0,4.0,4.0,Semi Furnished,400 m²,180 m²,,SHM - Sertifikat Hak Milik,,"Pantai Indah Kapuk, Jakarta Utara",-6.1236701011657715,106.75318145751953,unknown,unknown,unknown
2.0,1.0,7700 Watt,1.0,3.0,4.0,4.0,Unfurnished,300 m²,200 m²,,"Lainnya (PPJB,Girik,Adat,dll)",2024.0,"Golf Island, Jakarta Utara",-6.0912957191467285,106.7445297241211,Rp,Miliar,"9,5"
4.0,1.0,,2.0,1.0,5.0,5.0,Furnished,554 m²,804 m²,,SHM - Sertifikat Hak Milik,,"Pantai Indah Kapuk, Jakarta Utara",-6.1236701011657715,106.75318145751953,Rp,Miliar,45
,,,,2.0,5.0,5.0,Semi Furnished,1000 m²,625 m²,,"Lainnya (PPJB,Girik,Adat,dll)",,"Pantai Indah Kapuk, Jakarta Utara",-6.1026441,106.7411622,Rp,Miliar,21
1.0,,,,1.0,1.0,2.0,Semi Furnished,125 m²,120 m²,,SHM - Sertifikat Hak Milik,,"Pondok Indah, Jakarta Selatan",-6.2775326,106.7794935,Rp,Miliar,"4,8"
1.0,1.0,5500 Watt,1.0,,3.0,3.0,Unfurnished,132 m²,128 m²,,SHM - Sertifikat Hak Milik,,"Citra Garden, Jakarta Barat",-6.1494199,106.71167,Rp,Miliar,"2,5"
,,,,,2.0,2.0,,93 m²,,28.0,HGB - Hak Guna Bangunan,,"Setiabudi, Jakarta Selatan",-6.20767,106.82698,Rp,Miliar,"1,35"
1.0,1.0,2200 Watt,1.0,2.0,2.0,2.0,Unfurnished,55 m²,40 m²,,SHM - Sertifikat Hak Milik,2024.0,"Cempaka Putih, Jakarta Pusat",-6.18128,106.87535,Rp,Miliar,"1,43"
,,,,,2.0,2.0,Semi Furnished,90 m²,,21.0,SHM - Sertifikat Hak Milik,,"Pondok Indah, Jakarta Selatan",-6.2754,106.78206,Rp,Miliar,6
6.0,,10000 Watt,2.0,1.0,6.0,6.0,Semi Furnished,300 m²,544 m²,,SHM - Sertifikat Hak Milik,2005.0,"Kemang, Jakarta Selatan",-6.266903877258301,106.82392883300781,unknown,unknown,unknown
